order_id,customer_name,age,product,quantity,price
403,Pooja,30.0,Laptop,1.0,
265,Rahul,22.0,Laptop,3.0,
285,Amit,22.0,Laptop,2.0,20000.0
152,Rahul,25.0,Headphones,3.0,20000.0
515,Amit,22.0,,2.0,20000.0
808,,22.0,,1.0,
739,Neha,35.0,Tablet,3.0,15000.0
536,Amit,30.0,Mobile,1.0,
972,,30.0,Mobile,3.0,10000.0
967,,35.0,Tablet,,20000.0
324,Rahul,,Headphones,3.0,10000.0
780,,25.0,Headphones,3.0,10000.0
1000,,25.0,Headphones,3.0,10000.0
346,Amit,35.0,,2.0,20000.0
785,,30.0,Mobile,2.0,20000.0
853,Pooja,35.0,Tablet,3.0,10000.0
709,Neha,22.0,Mobile,1.0,10000.0
370,Pooja,,Mobile,2.0,15000.0
945,Neha,22.0,Laptop,,
975,Pooja,35.0,Tablet,3.0,10000.0
434,Rahul,30.0,,3.0,15000.0
91,Rahul,22.0,Headphones,1.0,15000.0
712,,30.0,Mobile,1.0,20000.0
149,Pooja,22.0,Headphones,1.0,20000.0
235,,,Headphones,3.0,20000.0
607,Pooja,30.0,,3.0,10000.0
974,Pooja,,Mobile,2.0,20000.0
76,,,Laptop,,10000.0
452,Neha,,Mobile,3.0,15000.0
228,Amit,35.0,,,
462,Pooja,25.0,,,15000.0
977,Rahul,35.0,,2.0,20000.0
139,Neha,22.0,Tablet,1.0,15000.0
378,Rahul,25.0,Tablet,1.0,
830,Rahul,35.0,Mobile,1.0,20000.0
740,,25.0,,2.0,
505,Rahul,25.0,Tablet,,20000.0
690,Rahul,25.0,Headphones,3.0,15000.0
666,Pooja,30.0,Mobile,3.0,15000.0
520,Neha,35.0,Laptop,,10000.0
48,Amit,30.0,Headphones,2.0,20000.0
160,Pooja,,Tablet,,20000.0
246,Pooja,30.0,Laptop,1.0,10000.0
146,Neha,22.0,Headphones,,20000.0
667,Pooja,25.0,Laptop,,15000.0
888,Neha,22.0,Tablet,,
891,Amit,,Tablet,2.0,10000.0
910,Pooja,35.0,,3.0,20000.0
867,Amit,30.0,Tablet,2.0,20000.0
233,Rahul,,Tablet,,
333,,35.0,Mobile,2.0,15000.0
480,,22.0,Laptop,,15000.0
12,Amit,,Tablet,3.0,20000.0
627,,,Laptop,1.0,
652,,35.0,Tablet,3.0,15000.0
478,Rahul,25.0,Tablet,,15000.0
681,,22.0,Headphones,3.0,15000.0
199,,35.0,Mobile,2.0,15000.0
759,,22.0,Headphones,3.0,10000.0
715,Amit,30.0,Mobile,,10000.0
210,Neha,30.0,Mobile,,10000.0
301,Amit,22.0,Tablet,3.0,20000.0
486,Amit,22.0,Tablet,,10000.0
661,Pooja,22.0,Mobile,2.0,20000.0
163,Pooja,22.0,Tablet,,
640,Pooja,,Headphones,1.0,20000.0
804,Amit,25.0,Mobile,1.0,10000.0
114,Rahul,,Laptop,2.0,15000.0
132,,35.0,,1.0,15000.0
430,Rahul,30.0,Headphones,3.0,10000.0
93,,35.0,Mobile,2.0,15000.0
183,Rahul,25.0,,,10000.0
204,Pooja,25.0,,,10000.0
665,Rahul,30.0,Headphones,2.0,
65,Rahul,25.0,,1.0,10000.0
88,Pooja,25.0,Headphones,2.0,20000.0
356,,25.0,,1.0,
489,Pooja,25.0,Laptop,,
960,Amit,25.0,Headphones,2.0,20000.0
587,Rahul,22.0,Tablet,2.0,10000.0
596,Neha,25.0,,1.0,10000.0
214,Pooja,35.0,Headphones,,15000.0
561,Amit,30.0,Headphones,1.0,15000.0
620,Pooja,35.0,Laptop,2.0,20000.0
371,Neha,22.0,Mobile,2.0,
838,Amit,,Headphones,,15000.0
